GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pmd,com.pmd.app.model.TaskModels,Project,114,63,12,0,29,22,14,10,8,10
pmd,com.pmd.app.model.TaskModels,TaskUser,7,26,0,0,3,12,2,6,2,6
pmd,com.pmd.app.model.TaskModels,Comment,12,34,0,0,6,14,3,10,3,10
pmd,com.pmd.app.model.TaskModels,Task,46,30,0,0,18,11,9,6,9,6
pmd,com.pmd.app.model.TaskModels,Column,46,30,0,0,18,11,9,6,9,6
pmd,com.pmd.app.config,SwaggerConfig,0,14,0,0,0,6,0,2,0,2
pmd,com.pmd.app.config,SecurityConfig,0,50,0,0,0,13,0,5,0,5
pmd,com.pmd.app.controller,AuthenticationController,17,9,0,0,4,4,2,1,2,1
pmd,com.pmd.app.controller,UserController,80,6,0,0,15,3,7,1,7,1
pmd,com.pmd.app.exception,RestResponseEntityExceptionHandler,12,3,0,0,2,1,1,1,1,1
pmd,com.pmd.app.service.TaskServices,ColumnService,26,6,0,0,6,3,5,1,5,1
pmd,com.pmd.app.service.TaskServices,CommentService,26,6,0,0,6,3,5,1,5,1
pmd,com.pmd.app.service.TaskServices,ProjectService,26,6,0,0,6,3,5,1,5,1
pmd,com.pmd.app.service.TaskServices,TaskService,26,6,0,0,6,3,5,1,5,1
pmd,com.pmd.app.controller.Task,TaskController,32,6,0,0,6,3,6,1,6,1
pmd,com.pmd.app.controller.Task,ColumnController,32,6,0,0,6,3,6,1,6,1
pmd,com.pmd.app.controller.Task,ProjectController,32,6,0,0,6,3,6,1,6,1
pmd,com.pmd.app.controller.Task,CommentController,32,6,0,0,6,3,6,1,6,1
pmd,com.pmd.app.model,User,21,73,0,0,8,25,3,13,3,13
pmd,com.pmd.app.model,Role,39,34,9,1,9,11,8,6,3,6
pmd,com.pmd.app,App,5,3,0,0,2,1,1,1,1,1
pmd,com.pmd.app.service,UserPrincipal,0,31,0,0,0,10,0,8,0,8
pmd,com.pmd.app.service,UserService,11,27,0,0,3,7,2,3,2,3
pmd,com.pmd.app.service,AuthenticationService,0,48,0,0,0,13,0,4,0,4
pmd,com.pmd.app.service,UserDetailsServiceImpl,20,6,0,0,3,3,2,1,2,1
pmd,com.pmd.app.util,JwtUtil,1,96,2,2,0,14,2,9,0,9
